pnode_id,pnode_name,pnode_subtype,pnode_zone,sub_id,sub_name,sub_city,sub_state,sub_max_volt,sub_lat,sub_lng,match_score
1123180719,LAURELDM13.8 KV LAUREL,GEN,EKPC,124921,LAUREL DAM,LONDON,KY,161,36.96133915000007,-84.26996039099998,75.0
1183223103,MEADOW  34 KV   LOAD,LOAD,AEP,108861,MEADOW BRIDGE,MEADOW BRIDGE,WV,69,37.88719059700003,-80.87550263399999,100
1183223103,MEADOW  34 KV   LOAD,LOAD,AEP,147526,MEADOW BROOK,STEPHENS CITY,VA,500,39.05806093000007,-78.25340576499997,100
1183223103,MEADOW  34 KV   LOAD,LOAD,AEP,147556,MEADOW BROOK,MIDDLETOWN,VA,138,39.05412251000007,-78.25515660699995,100
1183223794,COLONYB 69 KV   LOAD,LOAD,AEP,147938,COLONY,NEWPORT NEWS,VA,115,37.10745168300008,-76.50412402999996,92.3076923076923
1218904600,COLLEEN 138 KV  LOAD1,LOAD,AEP,147667,COLLEEN,ARRINGTON,VA,138,37.71045345400006,-78.94650684599998,100
1218905133,LOONEYCR69 KV   HURLEY,LOAD,AEP,117033,HURLEY,HURLEY,VA,69,37.42230876200006,-82.02123605299994,100
1218905975,HORNMTN 69 KV   ISLDCOAL,LOAD,AEP,147340,THORNTON,FERRUM,VA,138,36.92493005600005,-79.92403450599994,80.0
1218905975,HORNMTN 69 KV   ISLDCOAL,LOAD,AEP,152380,THORNTON,AKRON,OH,-999999,41.06673538800004,-81.55269964099995,80.0
1218905978,GRUNDY  69 KV   T5,LOAD,AEP,113095,GRUNDY,GRUNDY,VA,69,37.301198010000064,-82.12463263199999,100
1218905980,HAYSI   69 KV   ECKHORN,LOAD,AEP,117043,HAYSI,HAYSI,VA,69,37.20857863200007,-82.30075677999997,100
1338423899,HAYELMRZ138 KV  HAYES,LOAD,ATSI,147930,HAYES,HAYES,VA,230,37.27920313300007,-76.49480810599994,100
1218908243,AXTEL   69 KV   AXTEL2,LOAD,ATSI,152763,AXTEL,VERMILION,OH,69,41.401456677000056,-82.37086095499996,100
1248984091,PANDARD 138 KV  CARROLL,LOAD,AEP,161590,POLAND RD,CHANTILLY,VA,230,38.91751630500005,-77.49173628499994,75.0
1248984093,ELK     138 KV  T2,LOAD,AEP,160571,ELK CREEK,MAN,WV,46,37.683288780000055,-81.82528371599994,100
1248984093,ELK     138 KV  T2,LOAD,AEP,146613,ELKO,KERSEY,PA,230,41.365076540000075,-78.59869776399995,85.71428571428571
1292908770,SOUREK  138 KV  TR1,LOAD,ATSI,137118,SOUREK,AKRON,OH,138,41.143987896000056,-81.57309234599995,100
1348256560,MEDINA  69 KV   T3 LD,LOAD,ATSI,153973,NORTH MEDINA,MEDINA,OH,345,41.169390399000065,-81.88274302899998,100
1348256560,MEDINA  69 KV   T3 LD,LOAD,ATSI,153983,WEST MEDINA,MEDINA,OH,-999999,41.14025086000004,-81.87904904499999,100
1356153536,LEXNGTN 69 KV   T1,LOAD,AEP,147630,LEXINGTON,ROCKBRIDGE BATHS,VA,500,37.86765102900006,-79.42041902199998,87.5
1356153536,LEXNGTN 69 KV   T1,LOAD,AEP,150336,LEXINGTON,ALLIANCE,OH,-999999,40.95249641800007,-81.11710721799994,87.5
1356155576,GUILFRD 138 KV  GUILFORD,LOAD,ATSI,124394,GUILFORD,GUILFORD TWP,PA,138,39.86392764200008,-77.69087703899999,98.33333333333333
1356178203,SORENSON,EHV,AEP,151156,SORENSON,ROANOKE,IN,765,40.98344822100006,-85.34175594999994,100
2041959593,COALTON 69 KV   T1,LOAD,AEP,121261,COALTON,ASHLAND,KY,69,38.36337748900007,-82.75857038399994,100
1388602470,REDWOOD 138 KV  T1,LOAD,AEP,147531,GREENWOOD,WINCHESTER,VA,138,39.15236609300007,-78.13148502699994,80.0
1388602893,ALADDIN 138 KV  T2,LOAD,AEP,160616,ALADDIN,ALEXANDRIA,IN,138,40.24763913100003,-85.68951830399999,100
1439644386,FARDAY  138 KV  T1,LOAD,AEP,133868,FARADAY,BANDY,WV,138,37.208537859000046,-81.66631623699999,97.3076923076923
1439645857,MINERAL 138 KV  BUCKEYE,LOAD,AEP,151776,MINERAL RIDGE,MINERAL RIDGE,OH,-999999,41.13877595500003,-80.77405397599995,100
2156112868,MINERVA 69 KV   T1,LOAD,AEP,157671,MINERVA,MINERVA,OH,-999999,40.71677377000003,-81.12187500699997,100
1666103436,DIEBOLDR69 KV   PERRY,LOAD,AEP,146146,PERRY,PERRY,OH,345,41.79960916300007,-81.14740295999997,100
